




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20580)	upload_1 (303)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of plasma membrane repair (GO:1905686)	4	3	.06	+	50.94	1.25E-05	1.78E-03
peptide antigen assembly with MHC class I protein complex (GO:0002502)	6	4	.09	+	45.28	6.75E-07	1.34E-04
MHC class I protein complex assembly (GO:0002397)	6	4	.09	+	45.28	6.75E-07	1.32E-04
cytoplasmic translational elongation (GO:0002182)	3	2	.04	+	45.28	6.42E-04	4.08E-02
positive regulation of sodium-dependent phosphate transport (GO:2000120)	3	2	.04	+	45.28	6.42E-04	4.06E-02
positive regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902255)	6	3	.09	+	33.96	6.12E-05	7.01E-03
protein folding in endoplasmic reticulum (GO:0034975)	11	5	.16	+	30.87	2.88E-07	7.07E-05
ribosomal small subunit assembly (GO:0000028)	16	7	.24	+	29.72	1.43E-09	6.05E-07
pyrimidine dimer repair (GO:0006290)	7	3	.10	+	29.11	1.06E-04	1.03E-02
regulation of plasma membrane repair (GO:1905684)	7	3	.10	+	29.11	1.06E-04	1.03E-02
cytoplasmic translation (GO:0002181)	127	52	1.87	+	27.81	3.38E-62	5.16E-58
positive regulation of plasminogen activation (GO:0010756)	8	3	.12	+	25.47	1.68E-04	1.47E-02
negative regulation of cellular response to hypoxia (GO:1900038)	11	3	.16	+	18.52	4.78E-04	3.22E-02
positive regulation of signal transduction by p53 class mediator (GO:1901798)	31	8	.46	+	17.53	1.18E-08	4.10E-06
endothelial tube morphogenesis (GO:0061154)	12	3	.18	+	16.98	6.30E-04	4.03E-02
morphogenesis of an endothelium (GO:0003159)	12	3	.18	+	16.98	6.30E-04	4.02E-02
positive regulation of protein exit from endoplasmic reticulum (GO:0070863)	13	3	.19	+	15.67	8.10E-04	4.90E-02
ribosome assembly (GO:0042255)	61	14	.90	+	15.59	2.02E-13	1.92E-10
regulation of plasminogen activation (GO:0010755)	18	4	.27	+	15.09	1.20E-04	1.13E-02
platelet aggregation (GO:0070527)	47	10	.69	+	14.45	1.32E-09	5.75E-07
peptide antigen assembly with MHC protein complex (GO:0002501)	21	4	.31	+	12.94	2.26E-04	1.82E-02
MHC protein complex assembly (GO:0002396)	21	4	.31	+	12.94	2.26E-04	1.81E-02
cotranslational protein targeting to membrane (GO:0006613)	22	4	.32	+	12.35	2.73E-04	2.05E-02
ribosomal small subunit biogenesis (GO:0042274)	102	18	1.50	+	11.99	9.49E-15	1.03E-11
epiboly involved in wound healing (GO:0090505)	31	5	.46	+	10.95	8.31E-05	8.73E-03
wound healing, spreading of cells (GO:0044319)	31	5	.46	+	10.95	8.31E-05	8.67E-03
endoplasmic reticulum calcium ion homeostasis (GO:0032469)	25	4	.37	+	10.87	4.56E-04	3.12E-02
ribosomal large subunit assembly (GO:0000027)	25	4	.37	+	10.87	4.56E-04	3.11E-02
homotypic cell-cell adhesion (GO:0034109)	64	10	.94	+	10.61	3.10E-08	9.63E-06
epiboly (GO:0090504)	32	5	.47	+	10.61	9.73E-05	9.63E-03
translation (GO:0006412)	395	61	5.82	+	10.49	2.12E-44	1.62E-40
regulation of intrinsic apoptotic signaling pathway by p53 class mediator (GO:1902253)	33	5	.49	+	10.29	1.13E-04	1.08E-02
peptide biosynthetic process (GO:0043043)	424	61	6.24	+	9.77	1.61E-42	8.19E-39
positive regulation of substrate adhesion-dependent cell spreading (GO:1900026)	43	6	.63	+	9.48	3.74E-05	4.56E-03
vacuolar acidification (GO:0007035)	36	5	.53	+	9.43	1.74E-04	1.49E-02
translational elongation (GO:0006414)	65	9	.96	+	9.40	4.48E-07	9.76E-05
