




Analysis Type:	PANTHER Overrepresentation Test (Released 20240226)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.10536401 Released 2024-01-17
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Homo sapiens - REFLIST (20592)	upload_1 (90)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
negative regulation of relaxation of cardiac muscle (GO:1901898)	2	2	.01	+	 > 100	1.89E-05	8.73E-03
lymphocyte aggregation (GO:0071593)	5	2	.02	+	91.52	1.87E-04	3.44E-02
regulation of relaxation of cardiac muscle (GO:1901897)	6	2	.03	+	76.27	2.80E-04	4.74E-02
positive regulation of vascular associated smooth muscle cell differentiation (GO:1905065)	6	2	.03	+	76.27	2.80E-04	4.69E-02
negative regulation of anoikis (GO:2000811)	19	3	.08	+	36.13	7.44E-05	1.92E-02
positive regulation of cell migration involved in sprouting angiogenesis (GO:0090050)	22	3	.10	+	31.20	1.17E-04	2.44E-02
regulation of anoikis (GO:2000209)	25	3	.11	+	27.46	1.73E-04	3.30E-02
positive regulation of blood vessel endothelial cell migration (GO:0043536)	55	4	.24	+	16.64	9.81E-05	2.27E-02
regulation of interleukin-2 production (GO:0032663)	63	4	.28	+	14.53	1.67E-04	3.22E-02
cyclic-nucleotide-mediated signaling (GO:0019935)	69	4	.30	+	13.26	2.37E-04	4.16E-02
transforming growth factor beta receptor signaling pathway (GO:0007179)	96	5	.42	+	11.92	6.37E-05	1.67E-02
endothelium development (GO:0003158)	101	5	.44	+	11.33	8.12E-05	2.03E-02
regulation of nervous system process (GO:0031644)	123	5	.54	+	9.30	2.05E-04	3.68E-02
cerebral cortex development (GO:0021987)	130	5	.57	+	8.80	2.66E-04	4.55E-02
transforming growth factor beta receptor superfamily signaling pathway (GO:0141091)	170	6	.74	+	8.08	1.02E-04	2.28E-02
transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0007178)	183	6	.80	+	7.50	1.52E-04	2.98E-02
leukocyte migration (GO:0050900)	248	7	1.08	+	6.46	1.08E-04	2.32E-02
cell junction assembly (GO:0034329)	287	8	1.25	+	6.38	3.72E-05	1.32E-02
wound healing (GO:0042060)	322	8	1.41	+	5.68	8.35E-05	1.99E-02
cellular response to growth factor stimulus (GO:0071363)	475	11	2.08	+	5.30	7.07E-06	5.13E-03
response to growth factor (GO:0070848)	506	11	2.21	+	4.97	1.28E-05	7.50E-03
response to wounding (GO:0009611)	430	9	1.88	+	4.79	1.10E-04	2.33E-02
modulation of chemical synaptic transmission (GO:0050804)	482	10	2.11	+	4.75	4.82E-05	1.39E-02
regulation of trans-synaptic signaling (GO:0099177)	483	10	2.11	+	4.74	4.91E-05	1.36E-02
positive regulation of cell migration (GO:0030335)	543	11	2.37	+	4.63	2.45E-05	9.59E-03
enzyme-linked receptor protein signaling pathway (GO:0007167)	614	12	2.68	+	4.47	1.46E-05	8.22E-03
positive regulation of cell motility (GO:2000147)	570	11	2.49	+	4.42	3.82E-05	1.29E-02
blood vessel development (GO:0001568)	530	10	2.32	+	4.32	1.06E-04	2.34E-02
positive regulation of locomotion (GO:0040017)	585	11	2.56	+	4.30	4.83E-05	1.36E-02
regulation of system process (GO:0044057)	544	10	2.38	+	4.21	1.31E-04	2.70E-02
cell-cell adhesion (GO:0098609)	544	10	2.38	+	4.21	1.31E-04	2.67E-02
cellular response to organonitrogen compound (GO:0071417)	547	10	2.39	+	4.18	1.37E-04	2.75E-02
vasculature development (GO:0001944)	551	10	2.41	+	4.15	1.46E-04	2.88E-02
heart development (GO:0007507)	566	10	2.47	+	4.04	1.81E-04	3.40E-02
cellular response to endogenous stimulus (GO:0071495)	1148	20	5.02	+	3.99	8.69E-08	3.31E-04
circulatory system development (GO:0072359)	928	16	4.06	+	3.94	2.38E-06	3.02E-03
