"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"ZNF385D",0,2.9648941862916,0.791,0.103,0,"0","ZNF385D"
"POSTN",7.48507868910511e-206,3.0160571390371,0.536,0.072,2.58579528393825e-201,"0","POSTN"
"SPRY1",5.82112191204273e-197,3.62211847199286,0.387,0.033,2.01096477573428e-192,"0","SPRY1"
"GALNT15",8.51134385609423e-187,3.8570402808627,0.325,0.022,2.94032884852631e-182,"0","GALNT15"
"EBF1",6.14741993133613e-181,3.23200681593364,0.393,0.039,2.12368768947938e-176,"0","EBF1"
"LRRC1",1.92134081462384e-163,2.54798435129894,0.519,0.083,6.63746397819953e-159,"0","LRRC1"
"NR5A2",2.39289820537353e-157,2.4996652877378,0.524,0.089,8.26650614028338e-153,"0","NR5A2"
"NUAK1",2.50027453894666e-156,2.46072253543144,0.573,0.113,8.63744842224513e-152,"0","NUAK1"
"PDE7B",4.81160055138775e-149,3.1844662399173,0.344,0.037,1.66221552648241e-144,"0","PDE7B"
"CCSER1",3.49069793337624e-131,2.0357747009196,0.577,0.127,1.20589650806416e-126,"0","CCSER1"
"LINC02147",6.40176273896484e-130,2.80083750353849,0.363,0.049,2.21155295580279e-125,"0","LINC02147"
"AC007681.1",5.74196517263476e-126,3.07048793417328,0.325,0.04,1.9836192885384e-121,"0","AC007681.1"
"FGF13",2.41063408639772e-125,3.86914584217277,0.216,0.014,8.32777651486957e-121,"0","FGF13"
"BACE2",9.28307399338468e-125,2.25618478646398,0.524,0.114,3.20693074175467e-120,"0","BACE2"
"MCTP1",3.27876618397041e-124,1.54035577823311,0.868,0.326,1.13268256591442e-119,"0","MCTP1"
"LAMA3",4.19504397539614e-122,4.06977809716332,0.203,0.012,1.44921989174035e-117,"0","LAMA3"
"SESN3",2.06384322632501e-113,2.82763606854308,0.316,0.043,7.12975280966238e-109,"0","SESN3"
"CACHD1",8.1387158394799e-112,2.19679098681837,0.485,0.108,2.81160077390673e-107,"0","CACHD1"
"NCOA7",1.40676664844017e-106,2.11361613217207,0.504,0.122,4.85981606370141e-102,"0","NCOA7"
